name,engine,technology,conforms,message,successes,failures
sa3,shacl,shacl_tq,False,,[],"[{'node': ':a', 'shape': ':S'}, {'node': ':b', 'shape': ':S'}, {'node': ':c', 'shape': ':S'}, {'node': ':a', 'shape': ':S1'}, {'node': ':b', 'shape': ':S1'}, {'node': ':c', 'shape': ':S1'}]"
sa3,shacl,rudof,Undefined,,[],[]
sa3,shex,shex_s,False,Some nodes are not conformant,"[{'node': ':b', 'shape': ':S'}, {'node': ':b', 'shape': ':S1'}, {'node': ':a', 'shape': ':S'}, {'node': ':a', 'shape': ':S1'}]","[{'node': ':c', 'shape': ':S'}, {'node': ':c', 'shape': ':S1'}]"
sa3,shex,jena_shex,False,,"[{'node': ':a', 'shape': ':S'}, {'node': ':a', 'shape': ':S1'}, {'node': ':b', 'shape': ':S'}, {'node': ':b', 'shape': ':S1'}]","[{'node': ':c', 'shape': ':S'}, {'node': ':c', 'shape': ':S1'}]"
sa3,shex,rudof,False,Some nodes are not conformant,"[{'node': ':a', 'shape': ':S1'}, {'node': ':a', 'shape': ':S'}, {'node': ':b', 'shape': ':S1'}, {'node': ':b', 'shape': ':S'}]","[{'node': ':c', 'shape': ':S1'}, {'node': ':c', 'shape': ':S'}]"
sa3_single,shacl,pyshacl,Undefined,,[],[]
sa3_single,shacl,shacl_s,Error,,[],Error running commandCommandResult.TIMEOUT
sa3_single,shacl,jena_shacl,True,,[],[]
sa3_single,shacl,shacl_tq,False,,[],"[{'node': ':a', 'shape': ':S'}]"
sa3_single,shacl,rudof,Undefined,,[],[]
sa4,shacl,pyshacl,False,,[],"[{'node': ':a', 'shape': ':S1'}, {'node': ':b', 'shape': ':S1'}]"
sa4,shacl,shacl_s,False,,[],"[{'node': ':b', 'shape': ':S1'}, {'node': ':b', 'shape': ':S1'}, {'node': ':a', 'shape': ':S1'}, {'node': ':a', 'shape': ':S1'}]"
sa4,shacl,jena_shacl,False,,[],"[{'node': ':a', 'shape': ':S1'}, {'node': ':b', 'shape': ':S1'}]"
sa4,shacl,shacl_tq,True,,[],[]
sa4,shacl,rudof,False,,[],"[{'node': ':b', 'shape': ':S1'}, {'node': ':a', 'shape': ':S1'}]"
sa4,shex,shex_s,False,Some nodes are not conformant,"[{'node': ':a', 'shape': ':S'}, {'node': ':b', 'shape': ':S'}]","[{'node': ':a', 'shape': ':S1'}, {'node': ':b', 'shape': ':S1'}]"
sa4,shex,jena_shex,False,,"[{'node': ':a', 'shape': ':S'}, {'node': ':b', 'shape': ':S'}]","[{'node': ':a', 'shape': ':S1'}, {'node': ':b', 'shape': ':S1'}]"
sa4,shex,rudof,False,Some nodes are not conformant,"[{'node': ':b', 'shape': ':S'}, {'node': ':a', 'shape': ':S'}]","[{'node': ':b', 'shape': ':S1'}, {'node': ':a', 'shape': ':S1'}]"
reach1,shacl,pyshacl,True,,[],[]
reach1,shacl,shacl_s,True,,[],[]
reach1,shacl,jena_shacl,True,,[],[]
reach1,shacl,shacl_tq,False,,[],"[{'node': ':c', 'shape': ':R'}, {'node': ':d', 'shape': ':R'}]"
reach1,shacl,rudof,True,,[],[]
reach1,shex,shex_s,True,No failures,"[{'node': ':b', 'shape': ':R'}, {'node': ':c', 'shape': ':R'}, {'node': ':d', 'shape': ':R'}, {'node': ':a', 'shape': ':R'}]",[]
reach1,shex,jena_shex,True,,"[{'node': ':a', 'shape': ':R'}, {'node': ':b', 'shape': ':R'}, {'node': ':c', 'shape': ':R'}, {'node': ':d', 'shape': ':R'}]",[]
reach1,shex,rudof,True,No failures,"[{'node': ':a', 'shape': ':R'}, {'node': ':b', 'shape': ':R'}, {'node': ':d', 'shape': ':R'}, {'node': ':c', 'shape': ':R'}]",[]
safe1,shacl,pyshacl,False,,[],"[{'node': ':a', 'shape': ':S'}]"
safe1,shacl,shacl_s,False,,[],"[{'node': ':b', 'shape': ':S'}, {'node': ':a', 'shape': ':S'}, {'node': ':a', 'shape': ':S'}]"
safe1,shacl,jena_shacl,False,,[],"[{'node': ':a', 'shape': ':S'}]"
safe1,shacl,shacl_tq,False,,[],"[{'node': ':a', 'shape': ':S'}]"
safe1,shacl,rudof,Undefined,,[],[]
safe1,shex,shex_s,False,Some nodes are not conformant,"[{'node': ':c', 'shape': ':S'}, {'node': ':d', 'shape': ':S'}]","[{'node': ':b', 'shape': ':S'}, {'node': ':a', 'shape': ':S'}]"
safe1,shex,jena_shex,False,,"[{'node': ':c', 'shape': ':S'}, {'node': ':d', 'shape': ':S'}]","[{'node': ':a', 'shape': ':S'}, {'node': ':b', 'shape': ':S'}]"
